State,Revenue District,Centre,Capacity completed but some minor ancillary works are pending,Capacity completed,Total Completed
Tamilnadu,Tuticorin,Kovilpatti,NA,5000,5000
Tamilnadu,Kancheepuram,Maduranthagam,NA,15000,15000
Tamilnadu,Kancheepuram,Maduranthagam,NA,5000,5000
Tamilnadu,Namakkal,Namakkal,NA,15000,15000
Tamilnadu,Thiruvanamalai,Thiruvanamalai,NA,20000,20000
Tamilnadu,Virudhnagar,Virudhnagar,NA,5000,5000
Total,Total,Total,20000,140000,160000
Jharkhand,Chatra,Chatra,NA,5000,5000
Jharkhand,E. Singbhum,E. Singhum-Chakulia,NA,15000,15000
Jharkhand,Hazaribagh,Hazaribagh,NA,15000,15000
Jharkhand,Jamtara,Jamtara,NA,5000,5000
Jharkhand,Latehar,Latehar,NA,5000,5000
Jharkhand,Ramgarh,Ramgarh,NA,5000,5000
Jharkhand,Ramgarh,Ramgarh,NA,10000,10000
Jharkhand,Saraikela,Saraikela,NA,5000,5000
Jharkhand,Ranchi,Ranchi,NA,15000,15000
Jharkhand,Koderma,Koderma,NA,15000,15000
Jharkhand,Deoghar,Madhupur,NA,5000,5000
Jharkhand,Dhanbad,Dhanbad,NA,13000,13000
Total,Total,Total,0,113000,113000
Jammu & Kashmir,Badgam,Badgam,NA,15000,15000
Jammu & Kashmir,Jammu,Jammu,NA,10000,10000
Jammu & Kashmir,Leh,Leh,NA,8340,8340
Jammu & Kashmir,Samba,Vijaypur/Samba,NA,25000,25000
Jammu & Kashmir,Baramula,Baramula,NA,20000,20000
Jammu & Kashmir,Doda,Khilani (Doda),NA,5000,5000
Jammu & Kashmir,Rajouri,Rajouri,NA,8340,8340
Jammu & Kashmir,Kishtwar,Kishtwar,NA,5000,5000
Jammu & Kashmir,Srinagar,Srinagar,NA,17500,17500
Jammu & Kashmir,Udhampur,Udhampur,NA,5000,5000
